一	0001
二	0001a
丨	00001
中	00001a
丿	00002
彡	00002a
丶	0002
小	0002a
㇕	00011
龴	00011a
乚	00022
乙	00022a
十	0010
廿	0010a
八	0020
公	0020a
圍	0100
邑	0100a
口	0200
甘	0200a
卜	1000
亠	1000a
乂	2000
爻	2000a
火	0011
气	0011a
水	0022
巛	0022a
木	0110
竹	0110a
土	0220
生	0220a
糸	1100
幺	1100a
厶	2200
虫	2200a
艸	0003
屮	0003a
不	0030
才	0030a
禾	0300
米	0300a
厂	3000
石	3000a
山	00003
丘	00003a
人	0012
儿	0012a
千	0021
从	0021a
大	0210
立	0210a
文	0120
亦	0120a
子	2100
了	2100a
女	0201
母	0201a
匕	0102
屰	0102a
卩	2010
尸	2010a
𠂉	2001
𠂊	2001a
尢	1002
夫	1002a
艮	00102
丮	00102a
勹	01002
巳	01002a
欠	10002
旡	10002a
日	0101
白	0101a
月	0202
夕	0202a
雨	1010
申	1010a
冫	2020
⺍	2020a
𠂹	00101
齊	00101a
阜	00202
㠯	00202a
宀	1001
穴	1001a
門	2002
戶	2002a
广	3003
京	3003a
冂	01001
巾	01001a
凵	02002
匚	02002a
内	10001
入	10001a
井	20002
囪	20002a
王	0111
金	0111a
刀	0222
勿	0222a
士	1110
七	1110a
斤	2220
予	2220a
丰	00111
耒	00111a
半	00222
卯	00222a
弓	1011
弋	1011a
矢	2022
至	2022a
戈	1101
戌	1101a
攴	2202
殳	2202a
辛	01011
业	01011a
皮	02022
革	02022a
干	01101
午	01101a
甲	02202
由	02202a
東	10011
西	10011a
南	20022
甫	20022a
丁	11001
丂	11001a
𠂆	22002
瓜	22002a
扌	0013
手	0013a
冎	0023
歹	0023a
目	0032
見	0032a
牙	0130
齒	0130a
心	0230
身	0230a
言	0310
舌	0310a
冄	0320
而	0320a
自	2300
耳	2300a
頁	3100
兀	3100a
黽	0233
龜	0233a
辰	0133
龍	0133a
又	0103
寸	0103a
夂	0203
㐄	0203a
𠂇	0301
工	0301a
止	0302
之	0302a
廾	0303
爪	0303a
走	2030
足	2030a
九	3010
彐	0113
尹	0113a
癶	0223
廴	0223a
耂	0311
長	0311a
亡	3110
臣	3110a
衣	1003
衤	1003a
氏	2330
亞	2330a
辵	2003
行	2003a
力	3001
方	3001a
鬼	0332
囟	0332a
車	3002
舟	3002a
鬲	03001
羊	0211
象	0211a
牛	0221
馬	0221a
豕	0112
彑	0112a
犬	0122
虎	0122a
豸	2101
鹿	2101a
隹	2110
非	2110a
鳥	2210
烏	2210a
䒑	2201
釆	2201a
羽	2221
毛	2221a
亼	0212
食	0212a
貝	2012
魚	2012a
也	2102
巴	2102a
回	0033
丩	0033a
田	0330
用	0330a
网	1111
冃	1111a
三	2222
四	2222a
凡	0232
皿	0232a
曲	2112
冊	2112a
臼	2013
瓦	2013a
斗	2032
婁	2032a
豆	2302
酉	2302a
几	0213
其	0213a
示	0312
且	0312a
爿	2103
疒	2103a
简	v
成	w
空	""
⾂	0001
