一	0001
二	0001a
丨	0002
中	0002a
十	0003
廿	0003a
丿	0010
彡	0010a
丶	0020
⺍	0020a
八	0030
小	0030a
㇕	00002
乙	00002a
卜	0100
攴	0100a
口	0200
甘	0200a
厶	0300
虫	0300a
亠	1000
广	1000a
冂	2000
内	2000a
凵	3000
匚	3000a
艸	0011
竹	0011a
水	0022
巛	0022a
木	0110
不	0110a
土	0220
生	0220a
糸	1100
幺	1100a
禾	2200
米	2200a
辛	00011
业	00011a
丁	00022
丂	00022a
日	0101
白	0101a
月	0202
夕	0202a
雨	1010
申	1010a
𠂹	2020
瓜	2020a
圍	0033
阝	0033a
田	0330
用	0330a
㠯	3300
亞	3300a
宀	1001
穴	1001a
門	2002
戶	2002a
厂	3003
石	3003a
人	0012
从	0012a
文	0021
亦	0021a
大	0210
立	0210a
千	0120
尢	0120a
子	2100
了	2100a
女	0201
母	0201a
𠂊	0102
匕	0102a
卩	2010
尸	2010a
勹	2001
巳	2001a
艮	1002
欠	1002a
扌	0013
手	0013a
冎	0023
歹	0023a
亡	0031
臣	0031a
目	0032
見	0032a
牙	0130
齒	0130a
心	0230
身	0230a
言	0310
舌	0310a
冄	0320
而	0320a
耳	2300
自	2300a
頁	3100
兀	3100a
又	0103
寸	0103a
夂	0203
㐄	0203a
𠂇	0301
工	0301a
止	0302
之	0302a
爪	0303
臼	0303a
走	2030
足	2030a
九	3010
丮	3010a
彐	0113
尹	0113a
癶	0223
廴	0223a
耂	0311
長	0311a
衤	1003
衣	1003a
辵	2003
行	2003a
力	3001
方	3001a
車	3002
舟	3002a
王	0111
金	0111a
刀	0222
勿	0222a
丰	1110
三	1110a
斤	2220
予	2220a
戈	1101
戌	1101a
殳	2202
干	2202a
弓	1011
弋	1011a
矢	2022
至	2022a
亼	0212
食	0212a
山	0232
丘	0232a
貝	2012
魚	2012a
也	2102
巴	2102a
羊	0211
象	0211a
牛	0112
馬	0112a
豕	0221
彑	0221a
犬	0122
虎	0122a
豸	2101
鹿	2101a
隹	2110
非	2110a
鳥	2210
烏	2210a
䒑	2201
釆	2201a
羽	2221
毛	2221a
辰	0132
龍	0132a
黽	2310
龜	2310a
四	1111
巾	1111a
火	2222
气	2222a
曲	2112
冊	2112a
示	0213
且	0213a
几	0312
其	0312a
爿	2103
疒	2103a
七	2013
氏	2013a
凡	2032
皿	2032a
酉	2302
鬲	2302a
齊	0333
瓦	0333a
鬼	0133
囟	0133a
南	0233
甫	0233a
東	0332
西	0332a
甲	2330
由	2330a
皮	2033
革	2033a
半	2303
卯	2303a
井	0313
婁	0313a
简	v
成	w
空	""
⾂	0001
