一	0001
二	0001a
丿	0010
彡	0010a
㇕	0100
𠂊	0100a
㇆	1000
了	1000a
丨	0002
中	0002a
丶	0020
小	0020a
口	0200
圍	0200a
乚	2000
乙	2000a
手	0011
扌	0011a
大	0022
立	0022a
木	0110
不	0110a
土	0220
生	0220a
艹	1100
甘	1100a
華	2233
十	2200
廿	2200a
卜	0003
攵	0003a
黽	3330
龜	3330a
止	0030
夂	0030a
牙	3303
齒	3303a
刂	0300
刀	0300a
鬥	3033
上	3000
下	3000a
三	0333
气	0333a
龴	0021
予	0021a
八	0012
䒑	0012a
人	0210
亼	0210a
勹	0120
勿	0120a
乂	2100
文	2100a
亻	0201
千	0201a
𠂇	0102
工	0102a
𠂉	2010
竹	2010a
儿	2001
兀	2001a
𠂆	1002
瓜	1002a
日	0101
白	0101a
月	0202
夕	0202a
火	1010
亦	1010a
冫	2020
⺍	2020a
宀	1001
穴	1001a
亠	2002
广	2002a
王	0111
金	0111a
氵	0222
水	0222a
丰	1110
キ	1110a
齊	2223
耒	2223a
羊	2220
鹿	2220a
士	1011
卯	1011a
示	2022
且	2022a
丁	1101
丂	1101a
欠	2232
旡	2232a
耂	2202
長	2202a
又	0013
殳	0013a
戈	0023
戊	0023a
厶	0032
虫	0032a
彐	0130
尹	0130a
心	0230
寸	0230a
阝	0310
耳	0310a
糸	0320
幺	0320a
西	2033
婁	2033a
匕	2300
尸	2300a
卩	3100
丩	3100a
皿	0233
鬼	0133
囟	0133a
廾	0103
臼	0103a
之	0203
屮	0203a
子	0301
巳	0301a
女	0302
母	0302a
非	2303
北	2303a
至	2030
矢	2030a
弓	3010
㠯	3010a
亞	0313
氏	0313a
貝	1003
魚	1003a
申	2330
甲	2330a
行	2003
廴	2003a
力	3001
方	3001a
由	0332
曲	0332a
凵	3002
匚	3002a
コ	0331
隹	0221
习	0221a
言	0112
舌	0112a
禾	0211
米	0211a
斤	0122
七	0122a
犬	2011
犭	2011a
牛	2201
半	2201a
虎	1102
豸	1102a
爪	2110
爲	2110a
䏑	2210
身	2210a
衤	2101
衣	2101a
門	0212
户	0212a
冂	2012
雨	2012a
冖	2102
巾	2102a
目	0033
見	0033a
田	0330
甫	0330a
四	3300
酉	3300a
艮	0113
食	0113a
弋	0223
干	0223a
也	0311
巴	0311a
川	0322
巛	0322a
爿	2230
疒	2230a
皮	3110
革	3110a
咼	2112
骨	2112a
山	0232
丘	0232a
召	2221
釆	2221a
午	2111
瓦	2111a
亡	0132
臣	0132a
鳥	2310
烏	2310a
㐄	2203
癶	2203a
用	2013
冊	2013a
九	2032
丸	2032a
几	2302
風	2302a
舟	3102
凡	3102a
尤	2212
夫	2212a
厂	0213
石	0213a
豕	0312
彑	0312a
而	2103
毛	2103a
辰	3012
龍	3012a
車	0303
馬	0303a
业	3003
辛	3003a
自	1111
頁	1111a
走	2222
足	2222a
重	>00001
能	<00001
简	v
成	w
空	""
