的	白勹丶
了	了
我	手戈
是	日一止
在	一亻土
和	禾口
有	𠂇月
不	不
就	亠口小尤
都	耂阝
也	也
要	西女
好	女子
他	亻也
去	土厶
到	至刂
還	之四一口衤
上	上
那	刀二阝
人	人
個	亻圍十口
看	手目
中	中
來	木人人
爲	爲
與	臼一乚丨廾
給	糸亼口
等	竹土寸
這	之言
用	用
把	扌巴
下	下
恩	圍大心
能	厶月匕匕
多	夕夕
想	木目心
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行人人止
再	一冂土
將	爿䏑寸
時	日土寸
但	亻日一
過	之咼
打	扌丁
大	大
年	𠂉㐄
以	厶人
買	四貝
讓	言衣口口甘
着	羊目
小	小
得	行日一寸
先	牛儿
或	戈口一
新	立木斤
及	𠂊又
於	方人冫
太	大丶
日	日
才	十丿
可	丁口
比	匕匕
玩	王一兀
最	日耳又
月	月
真	十目廾
並	立立
其	甘廾
話	言舌
請	言丰月
叫	口凵
開	門一廾
出	屮凵
誰	言隹
向	宀口
家	宀豕
問	門口
之	之
更	一日乂
該	言亠凵人
走	走
快	心㇕大
別	口力刂
前	䒑月刂
由	由
高	亠口冂口
裏	衣田土
加	力口
所	户斤
天	一大
已	巳
里	田土
老	耂匕
行	行
事	一中彐
帶	廿儿冖巾
如	女口
死	一夕匕
賣	士四貝
像	亻召豕
使	亻一口乂
剛	冂䒑山刂
成	戊㇕
無	𠂉廿廿火
換	扌𠂊冂八大
只	口八
愛	爪冖心夂
回	圍口
聽	耳王十四一心
少	小丿
元	一兀
喫	口丰刀大
算	竹目廾
者	耂
忙	心亡
起	走巳
各	夂口
分	八刀
則	貝刂
水	水
張	弓長
改	巳攵
三	三
見	見
連	之車
車	車
放	方攵
全	人王
按	扌宀女
萬	艹日冂厶
機	木幺幺戈人
早	日十
拉	扌立
弄	王廾
本	木一
偶	亻日冂厶
頁	頁
進	之隹
性	心生
第	竹弋弓
完	宀一兀
同	冂一口
花	艹亻匕
長	長
女	女
講	言甘冂土
殺	乂木殳
組	糸且
錯	金廿日
些	止匕二
住	亻丶王
名	夕口
次	冫欠
網	糸冂䒑亡
睡	目千艹二
裝	爿士衣
挺	扌廴丿士
王	王
路	足夂口
正	一止
外	夕卜
二	二
頭	一口䒑頁
應	广亻隹心
生	生
心	心
因	圍大
子	子
強	弓厶虫
類	米大頁
作	亻𠂉匕
送	之䒑大
書	彐キ日
每	𠂉母
法	氵土厶
拍	扌白
市	亠巾
撒	扌廿月攵
至	至
接	扌立女
美	羊大
表	丰衤
未	二木
非	非
級	糸𠂊又
即	艮卩
此	止匕
差	羊工
版	爿厂又
併	亻䒑廾
副	一口田刂
系	丿糸
收	凵攵
男	田力
俺	亻大申
字	宀子
股	月殳
轉	車一日厶寸
便	亻一日乂
考	耂丂
塊	土鬼
線	糸白水
手	手
黃	廿一由八
道	之八頁
米	米
座	广人人土
取	耳又
低	亻氏一
難	艹口夫隹
兒	臼儿
受	爪冖又
包	勹巳
阿	阝丁口
喝	口日勹亡
白	白
