的	白勹丶
了	了
我	手戈
是	日一止
在	一亻土
你	亻竹八
和	禾口
有	𠂇月
不	不
就	亠口小尤
都	耂阝
也	也
要	西女
吧	口巴
好	女子
他	亻也
去	土厶
到	至刂
上	上
那	刀二阝
人	人
看	手目
中	中
呢	口尸匕
她	女也
等	竹土寸
用	用
把	扌巴
下	下
恩	圍大心
能	厶月匕匕
很	行艮
多	夕夕
做	亻十口攵
想	木目心
被	衤皮
地	土也
而	而
一	一
又	又
再	一冂土
但	亻日一
打	扌丁
大	大
年	𠂉㐄
啦	口扌立
以	厶人
嗯	口圍大心
着	羊目
小	小
得	行日一寸
先	牛儿
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	𠂊又
跟	足艮
太	大丶
嘛	口广木木
日	日
才	十丿
可	丁口
比	匕匕
玩	王一兀
最	日耳又
月	月
真	十目廾
吃	口𠂉乙
它	宀匕
其	甘廾
叫	口凵
出	屮凵
哈	口亼口
向	宀口
家	宀豕
之	之
更	一日乂
走	走
快	心㇕大
前	䒑月刂
由	由
高	亠口冂口
您	亻竹八心
加	力口
所	户斤
天	一大
已	巳
里	田土
啥	口亼十口
老	耂匕
搞	扌亠口冂口
行	行
事	一中彐
拿	亼口手
如	女口
死	一夕匕
像	亻召豕
使	亻一口乂
成	戊㇕
只	口八
哪	口刀二阝
回	圍口
少	小丿
元	一兀
卡	上卜
靠	牛口非
算	竹目廾
者	耂
忙	心亡
起	走巳
各	夂口
分	八刀
咯	口夂口
水	水
改	巳攵
唉	口厶矢
三	三
放	方攵
全	人王
按	扌宀女
早	日十
拉	扌立
弄	王廾
本	木一
偶	亻日冂厶
性	心生
第	竹弋弓
完	宀一兀
同	冂一口
花	艹亻匕
怕	心白
女	女
些	止匕二
住	亻丶王
名	夕口
跑	足勹巳
次	冫欠
睡	目千艹二
哦	口手戈
挺	扌廴亻土
王	王
掉	扌卜日十
路	足夂口
正	一止
外	夕卜
二	二
生	生
心	心
因	圍大
子	子
作	亻𠂉匕
送	之䒑大
每	𠂉母
法	氵土厶
乖	千北
拍	扌白
市	亠巾
撒	扌廿月攵
至	至
接	扌立女
美	羊大
表	丰衤
未	二木
非	非
即	艮卩
哎	口艹乂
此	止匕
差	羊工
版	爿𠂆又
副	一口田刂
系	丿糸
收	凵攵
男	田力
俺	亻大申
字	宀子
股	月殳
便	亻一日乂
考	耂丂
手	手
道	之八頁
米	米
座	广人人土
聊	耳卯
取	耳又
低	亻氏丶
哇	口土土
受	爪冖又
包	勹巳
阿	阝丁口
喝	口日勹亡
白	白
金	金
四	四
近	之斤
管	竹宀㠯
定	宀一止
交	亠八乂
李	木子
笑	竹丿大
自	自
型	一廾刂土
黑	四土火
慢	心日四又
刷	尸巾刂
穿	穴牙
越	走戈乚
位	亻立
部	立口阝
站	立卜口
牛	牛
怪	心又土
省	小丿目
倒	亻至刂
曾	八四日
累	田糸
汗	氵干
查	木日一
象	召豕
半	半
格	木夂口
五	二乂
方	方
某	甘木
唔	口二乂口
