人	人入
口貝	員唄员呗
巳	己已巳
口力	另叻
日冖車	暈暉晕晖
木口	束杏
日亠口小	景晾
尹口羊	群羣
口巴	吧邑
口	口〇
木冂木冂	棘棗
口八	只叭
山手戈	峨峩
木日	東杳
士口䒑口	喜囍
丶艮阝	郎郞
女臣	姫姬
行	行彳
山夂丰	峰峯
九日	旭旮
之	之辶
亼口人刂	剣劍
日干	旱旰
阝爪彐心	隠隱
禾爪彐心	穏穩
口口甲一	單嘽
行山王攵	徴徵
田匕匕	毘毗
金日勿	錫锡
山厂土土	崖崕
山鳥	嶋嶌
匚	匚匸
阝大人人	陝陜
习习立	翌翋
臣巳火	熙煕
日小兀	晃晄
日文	旻旼
王丶	玉玊
亻刀丶	仞仭
一中甘衤	嚢囊
土土土兀	堯墝
山𠂊又	岌岋
召儿丶	兎兔
艹召儿丶	菟莵
月厶八夂	脧朘
王王弋八	瑟璱
月屮凵	朏胐
手戈鳥	鵝鹅鵞
禾尤山	嵇嵆
木四	柬柶
口口口木	噪喿
亼口刀丶	劒剱劔
宀臣	宦宧
山𠂉匕	岝岞
山亼㇕	岑岒
金乂八夂	鍐鑁
革刀丶	靭靱
几木	凩朵
石水	泵砅
日勿	易昒
山𠂊厂卩	峗峞
土爪寸	埒埓
口耳	咡咠
長彡四日	鬙鬠
木工	杠杢
木人冂厶	檎麶
艹亠厶儿	茺萒
月勹口	朐胊
山亠丁口	嵜﨑
木且	査柤
山亼月刂	崳嵛
山亼月巛	崳嵛
口口口山	嵒喦
糸白水	線缐
彡頁女	嬃媭
竹亼口刂	箚劄
广匕頁	廎庼
士冖几殳	殻殼
木予丿木	楺楙
王見	現现
言八口儿	説說说
工頁	項项
長	長长
木示	柰标
木廿由八	横橫
龍	龍龙
頁	頁页
車	車车
車斤日	暫暂
車九	軌轨
車欠	軟软
齒	歯齒齿
口力刂	別别
口馬	嗎吗
貝攵	敗败
冂人	內内
貝𠂆又	販贩
見	見见
貝立口	賠赔
川頁	順顺
亻門	們们
亼龴頁	領领
金十目廾	鎮镇
彡頁	須须
金卜口	鉆钻
金手丶	鉄铁
金夂口	鉻铬
月長	脹胀
月弋二貝	膩腻
魚	魚鱼
鳥	鳥鸟
言用口	調调
言斤丶	訴诉
言殳	設设
言亠凵人	該该
門耳	聞闻
門十丿	閉闭
門口	問问
門日	間间
門	門门
氵貝刂	測测
宀艹見	寛宽
冖車	軍军
馬	馬马
皮頁	頗颇
馬户冊	騙骗
弓長	張张
弓刂貝	費费
糸工	紅红
糸一屮	純纯
糸田	細细
糸且	組组
糸亠厶儿	統统
糸户冊	編编
干頁	頇顸
丁頁	頂顶
戈止鳥	鵡鹉
一夕口貝	殞殒
士口頁	頡颉
走牛儿貝	趲趱
夫夫車	輦辇
夫見	規规
一兀頁	頑顽
大䒑頁	頬颊
王龍	瓏珑
王頁	頊顼
王之車	璉琏
王貝貝女	瓔璎
丰貝	責责
丰月見	靚靓
王馬	瑪玛
扌龍	攏拢
扌口貝	損损
扌牛儿貝	攢攒
扌門	捫扪
扌門夂口	擱搁
扌⺍冖見	撹搅
扌冖車	揮挥
艹長	萇苌
艹龍	蘢茏
十戈車	載载
艹之車	蓮莲
艹口隹頁	顴颧
艹日大馬	驀蓦
廿乚貝	貰贳
十目廾頁	顛颠
艹見	莧苋
艹鳥	蔦茑
艹言勹亡	藹蔼
艹門隹	藺蔺
艹冖車	葷荤
艹糸勹丶	葯药
西示風	飄飘
木長	棖枨
雨而頁	顬颥
木龍	櫳栊
木之車	槤梿
西貝	賈贾
木見	梘枧
木風	楓枫
木魚日	櫓橹
木口𠂊貝	賴赖
木門口口	櫚榈
石頁	碩硕
石車	硨砗
厂貝刂	厠厕
石見	硯砚
龍土	壟垄
龍石	礱砻
龍言	讋詟
厂亻隹貝	贋赝
犬犬犬風	飆飙
龍衣	襲袭
石馬	碼码
車干	軒轩
車土口衤	轅辕
弋二貝	貳贰
車耳乚	輒辄
之車	連连
車乚	軋轧
車甫	輔辅
臣頁	頤颐
車至	輊轾
車口耳	輯辑
匚中一貝	匱匮
車口八	軹轵
車由	軸轴
車日匕匕	輥辊
車冂䒑亡	輞辋
車亼月刂	輸输
車人王	輇辁
車斤土	塹堑
車斤金	鏨錾
牙鳥	鴉鸦
車亠八乂	較较
車亠月攵	轍辙
車鹿	轆辘
車米夕㐄	轔辚
車宀丰口	轄辖
車尸廿衤	輾辗
車召	軺轺
車刀丶	軔轫
一屮頁	頓顿
車巛田	輜辎
齒止匕	齜龇
卜圍乂	鹵卤
止癶頁	頻频
卜貝	貞贞
虫見	蜆蚬
齒亼龴	齢齡龄
止匕貝	貲赀
齒尸至	齷龌
虫馬	螞蚂
中一貝	貴贵
口丰貝	嘖啧
足艹門隹	躪躏
口龍	嚨咙
口齒	噛嚙啮
口口丂頁	顎颚
圍口貝	圓圆
口貝阝	鄖郧
足牛儿貝	躦躜
口月鳥	鵑鹃
口魚日	嚕噜
口鳥	鳴鸣
口糸勹丶	喲哟
日一止頁	題题
田木頁	顆颗
日龍	曨昽
小兀冖車	輝辉
非車	輩辈
甲鳥	鴨鸭
日見	晛𬀪
日爪𠂇又	暖暧㬊
小冖口貝	賞赏
貝戈止	賦赋
貝十⺍丶	賕赇
巾長	帳帐
貝長	賬账
巾丰貝	幘帻
貝十丿	財财
山十廾頁	巔巅
貝甫寸	賻赙
山而頁	顓颛
目龍	矓眬
貝𠂇月	賄贿
冂大鳥	鴦鸯
貝戈𠂇	賊贼
山車斤	嶄崭
貝卜口	貼贴
巾卜貝	幀帧
貝口儿	貺贶
貝日勿	賜赐
目見	睍𪾢
貝貝女	嬰婴
貝	貝贝
貝耂	賭赌
貝刂	則则
貝夂口	賂赂
四言刂	罰罚
貝广土	賍赃
貝八四日	贈赠
貝禾禾彐	賺赚
山巳	岂屺
竹龍	籠笼
牛口鳥	鵠鹄
竹見	筧笕
禾几頁	頽颓
牛儿儿貝	贊赞
竹門日	簡简
竹馬	篤笃
亻長	倀伥
亻丰貝	債债
亻十艹貝	僨偾
亻木鳥	鵂鸺
亻弋貝	貸贷
臼車廾	輿舆
亻卜貝	偵侦
亻貝刂	側侧
亻見	俔伣
亻丿士貝	賃赁
亻匕頁	傾倾
亻匕貝	貨货
亻言耂	儲储
隹火鳥	鷦鹪
亼口龍	龕龛
食耳	餌饵
食艹日大	饃馍
食十冖子	餑饽
乂木弋工	弑弒
食一屮	飩饨
行金	銜衔
食中一貝	饋馈
食日匕匕	餛馄
食丿士	飪饪
食丿大	飫饫
食手戈	餓饿
食𠂉巾	飾饰
食𠂉力	飭饬
食宀口	餉饷
食臼丨又	餿馊
食𠂆又	飯饭
食爪女	餒馁
食几	飢饥
食𠂊臼	餡馅
食欠	飲饮
食卯田	餾馏
食勹巳	飽饱
亼㇕口頁	頷颔
亼㇕貝	貪贪
食䒑廾	餅饼
食羊彐丨	饈馐
食宀㠯	館馆
食虫	蝕蚀
食㇕一口	飼饲
八刀頁	頒颁
八刀貝	貧贫
八厶頁	頌颂
食厶口	飴饴
金一廾	鈃钘
金丁	釘钉
金耂丂	銬铐
金耂	鍺锗
金耂匕	銠铑
金丰寸	鋳铸
金耳	鉺铒
金丰月	錆锖
金王丶	鈺钰
金甘	鉗钳
金十	針针
金十口	鈷钴
金廿日	錯错
金艹隹又	鑊镬
金木一	鉢钵
金甫	鋪铺
金雨田	鐳镭
金木丶	鉥𬬸
金大十艹	錛锛
金𠂇月	銪铕
金大丶	钛鈦
金一日小	鐐镣
金犬㇕	鈸钹
金至	銍铚
金弋	釴𬬩
金戊㇕	鋮铖
金弋心	鋱铽
金之車	鏈链
金匚コ	鉅钜
金戈乚	鉞钺
金卜	釙钋
金圍大	銦铟
金圍十口	錮锢
金口月	鋗𫓶
金日一	鉭钽
金田土	鋰锂
金刂	釗钊
金田木	錁锞
金田	鈿钿
金小貝	鎖锁
金小丿	鈔钞
金小月	銷销
金业半大	鏷镤
金小口土	鏜镗
金冂一口	銅铜
金冂人	鈉钠
金貝	鋇钡
金目	鉬钼
金且力	鋤锄
金牛口	鋯锆
金千日土	鍾锺
金千臼	鍤锸
金牛儿	銑铣
金禾火	鍬锹
金禾㇕丿	銹锈
金厂三殳	鍛锻
金白王	鍠锽
金川	釧钏
金自木	鎳镍
金隹	錐锥
金白	鉑铂
金白巾	錦锦
金人王	銓铨
金斤	釿𬬱
金人人土	銼锉
金亼㇕	鈐钤
金亼龴	鈴铃
金爪𠂇又	鍰锾
金彡	釤钐
金𠂆又	鈑钣
金凡	釩钒
金几口	鉛铅
金夂丰	鋒锋
金夕口	銘铭
金卯	鉚铆
金欠	欽钦
金勹丶	釣钓
金勹冫	鈞钧
金勹厶	鈎钩
金辛	鋅锌
金立日儿	鏡镜
金亠巾	鈰铈
金衣	銥铱
金亠冖方	鎊镑
金丶艮	鋃锒
金方	鈁钫
